ApName,Super Build／SS7,,,,,,,,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,,,,,,,,
工事名,（仮称）ドラッグコスモス人吉店　新築工事,,,,,,,,,,,,,,,,,,,,,,,
略称,コスモス人吉店,,,,,,,,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,,,,,,,,
出力日時,2020/9/30 9:41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,,,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
Fc21(普通),21,7,,0.7,14,,1.05,1.14,1.43,<RE>,,,,,,,,,,,,,,
"SD295A(D13,D16)",295,195,195,195,295,295,295,,,<RE>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,基礎柱,,,,,,,,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,,,,,,,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,,,,,,,,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,mm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,E,2,4,FG31,1,7400,上部,92.6,27.7,-61.5,58.4,50,0,0,,,,,,,,,,
,,,,,,,偏心,-61.2,2.1,-57.1,-17.2,17.2,0.8,-0.8,<RE>,,,,,,,,,
1,E,4,5,FG31,1,7200,上部,61.8,34.8,-67.1,51.9,53.4,0,0,,,,,,,,,,
,,,,,,,偏心,-23.4,11.6,-0.4,-3.3,3.3,9.1,-9.1,<RE>,,,,,,,,,
1,E,5,6,FG31,1,7200,上部,67.3,32.9,-65.3,52.9,52.4,0,0,,,,,,,,,,
,,,,,,,偏心,0.5,0.1,0.6,0.2,-0.2,0.9,-0.9,<RE>,,,,,,,,,
1,E,6,7,FG31,1,7200,上部,65.5,33,-66.9,52.5,52.8,0,0,,,,,,,,,,
,,,,,,,偏心,-0.6,-0.5,-1.5,-0.3,0.3,0.8,-0.8,<RE>,,,,,,,,,
1,E,7,8,FG32,1,7200,上部,67.4,35.5,-106.2,59,69.7,0,0,,,,,,,,,,
,,,,,,,偏心,1.6,12.1,25.8,3.8,-3.8,-0.7,0.7,<RE>,,,,,,,,,
1,E,8,9,FG32,1,7370,上部,106.7,75,0.5,80.5,51.5,0,0,,,,,,,,,,
,,,,,,,偏心,-26.1,12.4,-1.5,-3.8,3.8,-17.3,17.3,<RE>,,,,,,,,,
1,1,A,B,FG1,1,5005,上部,-1.5,4.4,-83.9,17.3,51.1,0,0,,,,,,,,,,
,,,,,,,偏心,56.9,-14.6,27.8,18.8,-18.8,-0.7,0.7,<RE>,,,,,,,,,
1,1,B,b2,FG33,1,10355,上部,84.1,111.8,-135.2,78.1,87.6,0,0,,,,,,,,,,
,,,,,,,偏心,-27.7,-7.3,-42.2,-7.1,7.1,0.2,-0.2,<RE>,,,,,,,,,
1,1,b2,C,FG33,1,7040,上部,135.2,2.9,-63.3,65.4,45,0,0,,,,,,,,,,
,,,,,,,偏心,-57.5,24.2,-9.2,-9.5,9.5,-0.1,0.1,<RE>,,,,,,,,,
1,1,C,c1,FG33,1,7660,上部,63.5,58.4,-60.9,60.5,59.8,0,0,,,,,,,,,,
,,,,,,,偏心,8.6,-18.5,-28.4,-2.8,2.8,0.1,-0.1,<RE>,,,,,,,,,
1,1,c1,D,FG33,1,4045,上部,61,-22.7,-50.9,32.8,27.7,0,0,,,,,,,,,,
,,,,,,,偏心,-41.5,49.4,57.2,3.9,-3.9,0.4,-0.4,<RE>,,,,,,,,,
1,1,D,E,FG33,1,6315,上部,51.3,56.1,0.1,57.3,40.9,0,0,,,,,,,,,,
,,,,,,,偏心,21.3,-42,-62.8,-7.8,7.8,0.8,-0.8,<RE>,,,,,,,,,
1,2,A,B,FG1,1,5005,上部,-3.3,29.3,6.9,18.6,17.2,0,0,,,,,,,,,,
,,,,,,,偏心,4,-1.7,0.6,0.9,-0.9,0.5,-0.5,<RE>,,,,,,,,,
1,2,D,E,FG1,1,6315,上部,-0.2,38.8,-0.3,23,23.1,0,0,,,,,,,,,,
,,,,,,,偏心,1.3,-1.8,-2.3,-0.2,0.2,-1.3,1.3,<RE>,,,,,,,,,
1,3,A,B,FG1,1,5005,上部,4.3,43.4,0,35.1,34.3,0,0,,,,,,,,,,
,,,,,,,偏心,-0.2,-0.6,-1.2,-0.3,0.3,0.2,-0.2,<RE>,,,,,,,,,
1,4,D,E,FG1,1,6315,上部,-1.7,39.5,-0.4,22.7,23.4,0,0,,,,,,,,,,
,,,,,,,偏心,2.6,-5.4,-8.3,-1,1,-1.6,1.6,<RE>,,,,,,,,,
1,5,D,E,FG1,1,6315,上部,-1.4,39.3,-0.5,22.8,23.3,0,0,,,,,,,,,,
,,,,,,,偏心,-2.5,-37.7,-77.8,-13.8,13.8,-0.1,0.1,<RE>,,,,,,,,,
1,6,D,E,FG1,1,6315,上部,-2.7,39.9,-0.5,22.5,23.6,0,0,,,,,,,,,,
,,,,,,,偏心,-0.3,-41.6,-83.3,-14.4,14.4,-0.1,0.1,<RE>,,,,,,,,,
1,7,D,E,FG1,1,6315,上部,-2.3,39.2,-1.5,22.5,23.6,0,0,,,,,,,,,,
,,,,,,,偏心,-0.6,-44.4,-89.3,-15.5,15.5,-0.2,0.2,<RE>,,,,,,,,,
1,8,D,E,FG1,1,6315,上部,-3,39.4,-1.7,22.3,23.8,0,0,,,,,,,,,,
,,,,,,,偏心,-3.3,-42.2,-87.7,-15.7,15.7,0.4,-0.4,<RE>,,,,,,,,,
