ApName,Super Build／SS7,,,,,,,,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,,,,,,,,
工事名,（仮称）ドラッグコスモス人吉店　新築工事,,,,,,,,,,,,,,,,,,,,,,,
略称,コスモス人吉店,,,,,,,,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,,,,,,,,
出力日時,2020/9/30 9:41,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,,,,,,,,
,F値,,,,,,,上端筋,その他,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,N/mm2,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
Fc21(普通),21,7,,0.7,14,,1.05,1.14,1.43,<RE>,,,,,,,,,,,,,,
"SD295A(D13,D16)",295,195,195,195,295,295,295,,,<RE>,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=独立基礎断面リスト,,,,,,,,,,,,,,,,,,,,,,,,
符号,コンクリート,,,,配筋,,,,,,設計支持力,,基礎柱,,,,,,,,,,,
,Lx×Ly,せい,Df,材料,X方向,,,Y方向,,,支持力度,,,,,,,,,,,,,
,,,,,本数-径,材料,dt,本数-径,材料,dt,長期,短期,,,,,,,,,,,,
,mm,mm,mm,,,,mm,,,mm,kN/m2,kN/m2,mm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,9,b2,上部,0.3,-0.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,-0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,0.3,0,0,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,-0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,0.1,0,0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,0.1,0,-0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,0.1,0,-0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,C,上部,0.1,0,-0.1,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,-0.3,0,0,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,0.3,-0.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,-0.3,-0.9,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.3,0.1,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,0.3,0,0,0.00001,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,43.4,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.3,0,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.3,0,0,0,0.00006,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,-43.5,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.1,0,0,0,-0.00006,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,-0.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,0.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,-0.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.6,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.2,0,0,-0.00001,-0.00003,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,41.8,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2,0,0,0.00002,-0.00019,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,-41.8,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.6,0,0,0.00001,0.00017,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.5,0,0,-0.00002,0,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=EY+,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,-1.1,0,0,0,-0.00002,,,,,,,,,,,,,,,,
,,,偏心,-0.6,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,-1.4,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,-1,0,0,0,-0.00002,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,1.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1.7,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,1.3,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,-0.1,0,2,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,1.4,0,2.6,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,-0.6,0,2.6,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,-0.7,0,2.5,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,-2.7,0,2.5,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0.2,0,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,-61,-0.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.7,-0.1,0,0,0.00005,<RE>,,,,,,,,,,,,,,,
1,9,b2,上部,-54.6,-0.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.7,-0.1,0,0,0.00002,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,3.3,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-6.3,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,-0.6,0,2.4,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,-0.7,0,2.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,-0.6,0,2.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,-0.4,0,2.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,-0.4,0,2.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,C,上部,-0.4,0,2.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,2.9,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-5.5,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,57.4,0.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.2,-0.1,0,0,-0.00003,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,51.7,0.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.6,-0.1,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,5.3,0,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,0.7,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,0.7,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,0.6,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,-1.3,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,0.2,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,1.8,0,0,0,-0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,5,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,0.3,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.8,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,0.7,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,0.6,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,0.6,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,0.7,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,-1.6,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,3.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.4,0,0,0,0,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎反力表,case=EY-,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,タイプ,Rz,Mx,My,θX,θY,,,,,,,,,,,,,,,,
,,,,kN,kNm,kNm,rad,rad,,,,,,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,上部,1.1,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.6,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,A,上部,1.5,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,3,A,上部,1,0,0,0,0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,B,上部,-1.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1.8,0,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,2,B,上部,-1.3,0,0,0,0.00001,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,B,上部,0.1,0,-2,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,5,B,上部,-1.4,0,-2.7,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,B,上部,0.6,0,-2.7,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,B,上部,0.7,0,-2.6,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.3,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,B,上部,2.7,0,-2.6,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,-0.2,0,0,<RE>,,,,,,,,,,,,,,,
1,9,B,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,b2,上部,62.2,0.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.7,0.1,0,0,-0.00005,<RE>,,,,,,,,,,,,,,,
1,9,b2,上部,55.8,0.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-2.7,0.1,0,0,-0.00002,<RE>,,,,,,,,,,,,,,,
1,1,C,上部,-3.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,6.4,0,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,2,C,上部,0.6,0,-2.4,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,4,C,上部,0.7,0,-2.4,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,C,上部,0.7,0,-2.4,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,C,上部,0.4,0,-2.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,C,上部,0.4,0,-2.3,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,C,上部,0.4,0,-2.2,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,-0.1,0,0,<RE>,,,,,,,,,,,,,,,
1,9,C,上部,-2.8,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,5.6,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,c1,上部,-58.8,-0.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.2,0.1,0,0,0.00003,<RE>,,,,,,,,,,,,,,,
1,9,c1,上部,-52.9,-0.1,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,2.7,0.1,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,1,D,上部,0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-5.4,0,0,0,-0.00001,<RE>,,,,,,,,,,,,,,,
1,2,D,上部,-0.7,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,D,上部,-0.7,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,D,上部,-0.7,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,D,上部,1.3,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,D,上部,-0.2,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,D,上部,-1.9,0,0,0,0.00004,,,,,,,,,,,,,,,,
,,,偏心,0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,9,D,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-5.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,1,E,上部,-0.3,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.8,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,2,E,上部,-0.7,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,4,E,上部,-0.7,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,5,E,上部,-0.7,0,0,0,-0.00001,,,,,,,,,,,,,,,,
,,,偏心,-0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,6,E,上部,-0.7,0,0,0,-0.00002,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,7,E,上部,1.6,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,-0.2,0,0,0,0,<RE>,,,,,,,,,,,,,,,
1,8,E,上部,-3.2,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.1,0,0,0,0.00001,<RE>,,,,,,,,,,,,,,,
1,9,E,上部,-0.1,0,0,0,0,,,,,,,,,,,,,,,,
,,,偏心,0.4,0,0,0,0,<RE>,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,,,,,,,,,
,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,F22,x,0,-2.5,0,,,1376,,,-3.4,考慮しない,,,,,,,,,,
,,,,y,0,1.2,0,,,,,,1.7,,<RE>,,,,,,,,,
1,2,A,F2,x,0,1,0,,,1376,,,1.4,考慮しない,,,,,,,,,,
,,,,y,0,2.7,0,,,,,,3.7,,<RE>,,,,,,,,,
1,3,A,F1,x,0,-0.2,0,,,1376,,,-0.3,考慮しない,,,,,,,,,,
,,,,y,0,-2.1,0,,,,,,-2.8,,<RE>,,,,,,,,,
1,1,B,F2,x,0,-0.1,0,,,1376,,,-0.1,考慮しない,,,,,,,,,,
,,,,y,0,-0.1,0,,,,,,-0.1,,<RE>,,,,,,,,,
1,2,B,F2,x,0,-0.1,0,,,1376,,,-0.2,考慮しない,,,,,,,,,,
,,,,y,0,-8.5,0,,,,,,-11.7,,<RE>,,,,,,,,,
1,4,B,F24,x,0,-0.1,0,,,1376,,,-0.1,Y方向,,,,,,,,,,
,,,,y,-3.6,-7.3,-0.5,,,,,,-14,,<RE>,,,,,,,,,
1,5,B,F24,x,0,-0.1,0,,,1376,,,-0.2,Y方向,,,,,,,,,,
,,,,y,-4.5,-7.3,0,,,,,,-14.5,,<RE>,,,,,,,,,
1,6,B,F24,x,0,-0.1,0,,,1376,,,-0.1,Y方向,,,,,,,,,,
,,,,y,-4.3,-7.5,0,,,,,,-14.5,,<RE>,,,,,,,,,
1,7,B,F24,x,0,-0.1,0,,,1376,,,-0.1,Y方向,,,,,,,,,,
,,,,y,-4,-7.4,0,,,,,,-14.1,,<RE>,,,,,,,,,
1,8,B,F24,x,0,-0.1,0,,,1376,,,-0.2,Y方向,,,,,,,,,,
,,,,y,-3.7,-7.2,-0.5,,,,,,-14,,<RE>,,,,,,,,,
1,9,B,F2,x,0,-0.1,0,,,1376,,,-0.1,考慮しない,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.1,,<RE>,,,,,,,,,
1,1,b2,F23,x,-0.5,-0.1,0.2,,,1376,,,-0.5,X方向,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.1,,<RE>,,,,,,,,,
1,9,b2,F23,x,-0.5,-0.1,0.3,,,1376,,,-0.4,X方向,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.1,,<RE>,,,,,,,,,
1,1,C,F2,x,0,-0.4,0,,,1376,,,-0.5,考慮しない,,,,,,,,,,
,,,,y,0,-0.1,0,,,,,,-0.1,,<RE>,,,,,,,,,
1,2,C,F2,x,0,-0.1,0,,,1376,,,-0.2,Y方向,,,,,,,,,,
,,,,y,1,2.8,-0.6,,,,,,4.2,,<RE>,,,,,,,,,
1,4,C,F2,x,0,-0.2,0,,,1376,,,-0.3,Y方向,,,,,,,,,,
,,,,y,1.1,2.4,0,,,,,,4.4,,<RE>,,,,,,,,,
1,5,C,F2,x,0,-0.2,0,,,1376,,,-0.3,Y方向,,,,,,,,,,
,,,,y,1.6,3.1,0,,,,,,5.7,,<RE>,,,,,,,,,
1,6,C,F2,x,0,-0.2,0,,,1376,,,-0.3,Y方向,,,,,,,,,,
,,,,y,2.4,4.5,0,,,,,,8.4,,<RE>,,,,,,,,,
1,7,C,F2,x,0,-0.2,0,,,1376,,,-0.2,Y方向,,,,,,,,,,
,,,,y,2.8,5.1,0,,,,,,9.8,,<RE>,,,,,,,,,
1,8,C,F2,x,0,-0.3,0,,,1376,,,-0.3,Y方向,,,,,,,,,,
,,,,y,3.2,5.4,0.3,,,,,,10.7,,<RE>,,,,,,,,,
1,9,C,F23,x,0,0.1,0,,,1376,,,0.1,考慮しない,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.1,,<RE>,,,,,,,,,
1,1,c1,F22,x,-0.9,-0.2,-0.4,,,1376,,,-1.5,X方向,,,,,,,,,,
,,,,y,0,-0.1,0,,,,,,-0.1,,<RE>,,,,,,,,,
1,9,c1,F22,x,-0.9,-0.2,-0.4,,,1376,,,-1.5,X方向,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.1,,<RE>,,,,,,,,,
1,1,D,F23,x,0,2.9,0,,,1376,,,3.9,考慮しない,,,,,,,,,,
,,,,y,0,-0.1,0,,,,,,-0.1,,<RE>,,,,,,,,,
1,2,D,F2,x,0,-0.2,0,,,1376,,,-0.3,考慮しない,,,,,,,,,,
,,,,y,0,2,0,,,,,,2.7,,<RE>,,,,,,,,,
1,4,D,F2,x,0,-0.3,0,,,1376,,,-0.4,考慮しない,,,,,,,,,,
,,,,y,0,3.6,0,,,,,,4.9,,<RE>,,,,,,,,,
1,5,D,F2,x,0,-0.3,0,,,1376,,,-0.4,考慮しない,,,,,,,,,,
,,,,y,0,3,0,,,,,,4.1,,<RE>,,,,,,,,,
1,6,D,F2,x,0,-0.3,0,,,1376,,,-0.5,考慮しない,,,,,,,,,,
,,,,y,0,4.1,0,,,,,,5.6,,<RE>,,,,,,,,,
1,7,D,F2,x,0,-0.3,0,,,1376,,,-0.4,考慮しない,,,,,,,,,,
,,,,y,0,3.2,0,,,,,,4.4,,<RE>,,,,,,,,,
1,8,D,F2,x,0,-0.4,0,,,1376,,,-0.6,考慮しない,,,,,,,,,,
,,,,y,0,3.7,0,,,,,,5,,<RE>,,,,,,,,,
1,9,D,F2,x,0,-0.1,0,,,1376,,,-0.1,考慮しない,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.1,,<RE>,,,,,,,,,
1,1,E,F22,x,0,3,0,,,1376,,,4.1,考慮しない,,,,,,,,,,
,,,,y,0,-0.1,0,,,,,,-0.1,,<RE>,,,,,,,,,
1,2,E,F24,x,0,-0.1,0,,,1376,,,-0.1,考慮しない,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.1,,<RE>,,,,,,,,,
1,4,E,F24,x,0,-0.1,0,,,1376,,,-0.1,考慮しない,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.1,,<RE>,,,,,,,,,
1,5,E,F23,x,0,-0.1,0,,,1376,,,-0.1,考慮しない,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.2,,<RE>,,,,,,,,,
1,6,E,F23,x,0,-0.1,0,,,1376,,,-0.1,考慮しない,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.2,,<RE>,,,,,,,,,
1,7,E,F23,x,0,-0.1,0,,,1376,,,-0.2,考慮しない,,,,,,,,,,
,,,,y,0,0.3,0,,,,,,0.4,,<RE>,,,,,,,,,
1,8,E,F23,x,0,-0.1,0,,,1376,,,-0.2,考慮しない,,,,,,,,,,
,,,,y,0,0.4,0,,,,,,0.5,,<RE>,,,,,,,,,
1,9,E,F22,x,0,-0.1,0,,,1376,,,-0.2,考慮しない,,,,,,,,,,
,,,,y,0,0.1,0,,,,,,0.1,,<RE>,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
name=基礎設計用曲げ応力表,case=L+S,,,,,,,,,,,,,,,,,,,,,,,
層,X軸,Y軸,符号,方向,支点M,支点Q,偏心M,杭頭M,杭頭Q,h1,h2,M1,M2,曲げの考慮,,,,,,,,,,
,,,,,kNm,kN,kNm,kNm,kN,mm,mm,kNm,kNm,,,,,,,,,,,
<data>,,,,,,,,,,,,,,,,,,,,,,,,
1,1,A,F22,x,0,-3.7,0,,,1376,,,-5,考慮しない,,,,,,,,,,
,,,,y,0,1.3,0,,,,,,1.8,,<RE>,,,,,,,,,
1,2,A,F2,x,0,1,0,,,1376,,,1.4,考慮しない,,,,,,,,,,
,,,,y,0,2.7,0,,,,,,3.7,,<RE>,,,,,,,,,
1,3,A,F1,x,0,-0.7,0,,,1376,,,-0.9,考慮しない,,,,,,,,,,
,,,,y,0,-2.8,0,,,,,,-3.8,,<RE>,,,,,,,,,
1,1,B,F2,x,0,-0.2,0,,,1376,,,-0.2,考慮しない,,,,,,,,,,
